,Hour,Temperature,Humidity,Wind_Speed,Visibilty,Solar_Radiation,Rainfall,Snowfall,Seasons,Holiday,Month,Year,Weekday,Is_Weekend
8691,3,3.5,38,1.6,907,0.0,0.0,0.0,Autumn,0,11,2018,Wednesday,0
6042,18,28.1,86,2.3,1244,0.28,0.5,0.0,Summer,0,8,2018,Thursday,0
4788,12,28.4,45,2.2,649,2.92,0.0,0.0,Summer,0,6,2018,Monday,0
6574,22,24.1,80,0.9,1852,0.0,0.0,0.0,Summer,0,8,2018,Friday,0
3716,20,14.1,46,3.4,1940,0.01,0.0,0.0,Spring,0,5,2018,Friday,0
2173,13,1.4,37,4.0,1681,2.95,0.0,0.0,Spring,1,3,2018,Thursday,0
1583,23,-10.3,48,2.0,2000,0.0,0.0,0.0,Winter,0,2,2018,Sunday,1
1412,20,-7.0,30,2.8,2000,0.0,0.0,0.0,Winter,0,1,2018,Sunday,1
7934,14,10.8,37,4.4,2000,1.29,0.0,0.0,Autumn,0,10,2018,Saturday,1
7594,10,12.6,50,1.4,1712,1.68,0.0,0.0,Autumn,0,10,2018,Saturday,1
2181,21,-3.0,50,3.7,1301,0.0,0.0,0.0,Spring,1,3,2018,Thursday,0
8395,19,11.2,46,1.4,869,0.0,0.0,0.0,Autumn,0,11,2018,Thursday,0
1507,19,-1.8,32,1.5,2000,0.0,0.0,0.0,Winter,0,2,2018,Thursday,0
2754,18,14.4,44,2.7,596,0.6,0.0,0.0,Spring,0,3,2018,Sunday,1
3564,12,20.5,31,2.5,1485,3.18,0.0,0.0,Spring,0,4,2018,Saturday,1
1864,16,3.3,38,3.8,1921,1.33,0.0,0.0,Winter,1,2,2018,Friday,0
842,2,-5.3,52,1.6,1481,0.0,0.0,0.0,Winter,0,1,2018,Friday,0
1146,18,5.2,62,2.9,503,0.01,0.0,0.0,Winter,0,1,2018,Wednesday,0
2485,13,20.9,44,4.7,1795,2.66,0.0,0.0,Spring,0,3,2018,Wednesday,0
5063,23,23.5,83,1.4,436,0.0,0.0,0.0,Summer,0,6,2018,Friday,0
3102,6,0.1,97,0.6,77,0.0,0.0,0.0,Spring,0,4,2018,Monday,0
7192,16,24.4,35,1.8,2000,1.71,0.0,0.0,Autumn,0,9,2018,Wednesday,0
1253,5,0.0,32,0.7,2000,0.0,0.0,0.0,Winter,0,1,2018,Monday,0
463,7,-8.1,67,0.9,1737,0.0,0.0,2.0,Winter,0,12,2017,Wednesday,0
1962,18,3.2,20,2.9,2000,0.16,0.0,0.0,Winter,0,2,2018,Tuesday,0
5272,16,27.9,39,1.2,2000,2.16,0.0,0.0,Summer,0,7,2018,Sunday,1
1790,14,3.7,39,3.8,1908,2.19,0.0,0.0,Winter,0,2,2018,Tuesday,0
2995,19,14.3,53,2.1,2000,0.17,0.0,0.0,Spring,0,4,2018,Wednesday,0
5891,11,35.7,42,1.6,1727,2.56,0.0,0.0,Summer,0,8,2018,Friday,0
4990,22,22.4,95,4.1,222,0.0,0.0,0.0,Summer,0,6,2018,Tuesday,0
378,18,-5.3,28,3.5,2000,0.0,0.0,0.0,Winter,0,12,2017,Saturday,1
2884,4,10.4,73,1.7,801,0.0,0.0,0.0,Spring,0,3,2018,Saturday,1
5939,11,31.2,63,2.6,1695,1.99,0.0,0.0,Summer,0,8,2018,Sunday,1
1335,15,-9.7,28,3.7,2000,1.0,0.0,0.5,Winter,0,1,2018,Thursday,0
1223,23,0.8,53,1.7,382,0.0,0.0,0.0,Winter,0,1,2018,Saturday,1
7789,13,19.3,24,1.5,1745,2.4,0.0,0.0,Autumn,0,10,2018,Sunday,1
668,20,-0.3,62,1.3,1040,0.0,0.0,0.0,Winter,0,12,2017,Thursday,0
